,Adjusted Close
2018-10-12,14.0
2018-10-15,14.0
2018-10-16,14.0
2018-10-17,14.0
2018-10-18,13.92
2018-10-19,14.0
2018-10-22,14.31
2018-10-23,13.85
2018-10-24,13.99
2018-10-25,14.97
2018-10-26,14.85
2018-10-29,14.47
2018-10-30,14.32
2018-10-31,14.0
2018-11-01,14.98
2018-11-02,15.035
2018-11-05,16.34
2018-11-06,16.98
2018-11-07,17.1
2018-11-08,16.99
2018-11-09,16.5
2018-11-12,15.6
2018-11-13,15.55
2018-11-14,15.89
2018-11-15,15.85
2018-11-16,16.9
2018-11-19,14.88
2018-11-20,14.5
2018-11-21,14.6
2018-11-23,19.44
2018-11-26,16.67
2018-11-27,16.47
2018-11-28,15.58
2018-11-29,14.9
2018-11-30,16.4
2018-12-03,16.2
2018-12-04,15.9
2018-12-06,14.41
2018-12-07,15.28
2018-12-10,14.08
2018-12-11,14.39
2018-12-12,13.3
2018-12-13,12.37
2018-12-14,12.0
2018-12-17,10.75
2018-12-18,11.04
2018-12-19,9.89
2018-12-20,6.32
2018-12-21,7.75
2018-12-24,9.0
2018-12-26,8.46
2018-12-27,7.62
2018-12-28,7.81
2018-12-31,8.16
2019-01-02,7.43
2019-01-03,7.06
2019-01-04,8.065
2019-01-07,10.12
2019-01-08,10.9
2019-01-09,10.48
2019-01-10,10.48
2019-01-11,10.57
2019-01-14,10.19
2019-01-15,10.57
2019-01-16,10.57
2019-01-17,11.28
2019-01-18,12.02
2019-01-22,11.53
2019-01-23,10.61
2019-01-24,10.91
2019-01-25,9.87
2019-01-28,8.82
2019-01-29,8.66
2019-01-30,8.25
2019-01-31,8.79
2019-02-01,8.68
2019-02-04,8.62
2019-02-05,8.8
2019-02-06,8.5
2019-02-07,8.25
2019-02-08,7.69
2019-02-11,7.1
2019-02-12,7.19
2019-02-13,7.16
2019-02-14,6.53
2019-02-15,6.51
2019-02-19,6.9
2019-02-20,6.04
2019-02-21,5.84
2019-02-22,6.0
2019-02-25,6.61
2019-02-26,7.38
2019-02-27,7.62
2019-02-28,7.87
2019-03-01,7.55
2019-03-04,7.53
2019-03-05,7.48
2019-03-06,7.37
2019-03-07,7.46
2019-03-08,7.45
2019-03-11,7.62
2019-03-12,7.73
2019-03-13,7.78
2019-03-14,7.15
2019-03-15,7.37
2019-03-18,7.0
2019-03-19,7.35
2019-03-20,7.31
2019-03-21,6.91
2019-03-22,6.81
2019-03-25,7.0
2019-03-26,7.51
2019-03-27,7.54
2019-03-28,7.97
2019-03-29,8.0
2019-04-01,8.2
2019-04-02,7.41
2019-04-03,7.18
2019-04-04,7.15
2019-04-05,7.46
2019-04-08,7.51
2019-04-09,6.87
2019-04-10,7.23
2019-04-11,6.65
2019-04-12,6.61
2019-04-15,6.06
2019-04-16,5.65
2019-04-17,5.48
2019-04-18,5.35
2019-04-22,5.51
2019-04-23,5.42
2019-04-24,5.28
2019-04-25,5.38
2019-04-26,5.99
2019-04-29,6.14
2019-04-30,6.24
2019-05-01,6.39
2019-05-02,6.33
2019-05-03,6.75
2019-05-06,6.92
2019-05-07,7.71
2019-05-08,6.08
2019-05-09,6.04
