,Adjusted Close
2005-11-18,3.1625
2005-11-21,3.26875
2005-11-22,2.9375
2005-11-23,2.975
2005-11-25,2.96
2005-11-28,2.9625
2005-11-29,2.66875
2005-11-30,2.81375
2005-12-01,2.89375
2005-12-02,3.0825
2005-12-05,3.2075
2005-12-06,3.0875
2005-12-07,3.20625
2005-12-08,3.1875
2005-12-09,3.125
2005-12-12,3.18625
2005-12-13,3.19875
2005-12-14,3.375
2005-12-15,3.42375
2005-12-16,3.455
2005-12-19,3.31125
2005-12-20,3.50875
2005-12-21,3.56875
2005-12-22,3.5875
2005-12-23,3.9025
2005-12-27,4.1575
2005-12-28,4.54375
2005-12-29,4.9825
2005-12-30,4.78875
2006-01-03,4.17
2006-01-04,3.95
2006-01-05,4.45375
2006-01-06,4.43375
2006-01-09,4.47875
2006-01-10,4.6875
2006-01-11,4.71125
2006-01-12,4.81375
2006-01-13,4.8775
2006-01-17,4.77125
2006-01-18,4.81875
2006-01-19,4.8475
2006-01-20,4.785
2006-01-23,4.665
2006-01-24,4.5875
2006-01-25,4.6075
2006-01-26,4.69375
2006-01-27,4.795
2006-01-30,5.0375
2006-01-31,4.99875
2006-02-01,4.87875
2006-02-02,4.9275
2006-02-03,4.855
2006-02-06,4.9
2006-02-07,3.8675
2006-02-08,3.68125
2006-02-09,3.68625
2006-02-10,3.74125
2006-02-13,3.78125
2006-02-14,3.78625
2006-02-15,3.63375
2006-02-16,3.59625
2006-02-17,3.615
2006-02-21,3.425
2006-02-22,3.525
2006-02-23,3.64375
2006-02-24,3.6
2006-02-27,3.57125
2006-02-28,3.52375
2006-03-01,3.58125
2006-03-02,3.65375
2006-03-03,3.60875
2006-03-06,3.575
2006-03-07,3.54375
2006-03-08,3.36625
2006-03-09,3.375
2006-03-10,3.31875
2006-03-13,3.4275
2006-03-14,3.7
2006-03-15,3.725
2006-03-16,3.78375
2006-03-17,3.75875
2006-03-20,3.88125
2006-03-21,3.8625
2006-03-22,3.8975
2006-03-23,3.94125
2006-03-24,4.125
2006-03-27,4.275
2006-03-28,4.11375
2006-03-29,4.25
2006-03-30,4.10875
2006-03-31,4.05
2006-04-03,4.06625
2006-04-04,4.1125
2006-04-05,4.12
2006-04-06,4.09
2006-04-07,4.05375
2006-04-10,3.975
2006-04-11,3.9
2006-04-12,3.8925
2006-04-13,3.9375
2006-04-17,4.025
2006-04-18,4.04625
2006-04-19,4.125
2006-04-20,4.1225
2006-04-21,4.11125
2006-04-24,4.1725
2006-04-25,4.08875
2006-04-26,4.625
2006-04-27,4.72875
2006-04-28,4.5975
2006-05-01,4.59125
2006-05-02,4.51375
2006-05-03,4.4625
2006-05-04,4.5825
2006-05-05,4.6
2006-05-08,4.5325
2006-05-09,4.68875
2006-05-10,4.6125
2006-05-11,4.59625
2006-05-12,4.42125
2006-05-15,4.445
2006-05-16,4.475
2006-05-17,4.40375
2006-05-18,4.12625
2006-05-19,4.3025
2006-05-22,4.3325
2006-05-23,4.40625
2006-05-24,4.405
2006-05-25,4.2725
2006-05-26,4.3
2006-05-30,4.31375
2006-05-31,4.4625
2006-06-01,4.65625
2006-06-02,4.64
2006-06-05,4.545
2006-06-06,4.4875
2006-06-07,4.375
2006-06-08,4.3325
2006-06-09,4.39375
2006-06-12,4.365
2006-06-13,4.4675
2006-06-14,4.625
2006-06-15,4.6375
2006-06-16,4.8325
2006-06-19,4.93125
2006-06-20,4.70375
2006-06-21,4.72
2006-06-22,4.62125
2006-06-23,4.68875
2006-06-26,4.6675
2006-06-27,4.61125
2006-06-28,4.79625
2006-06-29,5.0875
2006-06-30,5.3275
2006-07-03,5.35375
2006-07-05,5.36375
2006-07-06,5.32125
2006-07-07,4.84375
2006-07-10,4.91
2006-07-11,5.12125
2006-07-12,5.045
2006-07-13,4.94625
2006-07-14,4.89
2006-07-17,4.89625
2006-07-18,4.80625
2006-07-19,5.14125
2006-07-20,5.24625
2006-07-21,5.075
2006-07-24,5.3175
2006-07-25,5.18375
2006-07-26,5.08375
2006-07-27,4.9575
2006-07-28,5.1
2006-07-31,5.01875
2006-08-01,4.875
2006-08-02,4.62375
2006-08-03,4.6775
2006-08-04,4.66125
2006-08-07,4.56375
2006-08-08,4.3975
2006-08-09,4.17875
2006-08-10,4.245
2006-08-11,4.05625
2006-08-14,4.06
2006-08-15,4.34125
2006-08-16,4.4025
2006-08-17,4.375
2006-08-18,4.40625
2006-08-21,4.36875
2006-08-22,4.4375
2006-08-23,4.36375
2006-08-24,4.31875
2006-08-25,4.36375
2006-08-28,4.47875
2006-08-29,4.3975
2006-08-30,4.36
2006-08-31,4.305
2006-09-01,4.24
2006-09-05,4.35125
2006-09-06,4.20375
2006-09-07,4.08375
2006-09-08,4.185
2006-09-11,4.50625
2006-09-12,4.79625
2006-09-13,4.78
2006-09-14,4.89625
2006-09-15,4.95
2006-09-18,4.9975
2006-09-19,5.0175
2006-09-20,5.02875
2006-09-21,5.11375
2006-09-22,5.15625
2006-09-25,5.1125
2006-09-26,5.03875
2006-09-27,5.12375
2006-09-28,5.02625
2006-09-29,5.0025
2006-10-02,4.9725
2006-10-03,4.99375
2006-10-04,5.25625
2006-10-05,5.305
2006-10-06,5.3575
2006-10-09,5.3725
2006-10-10,5.6875
2006-10-11,5.565
2006-10-12,5.80875
2006-10-13,5.9925
2006-10-16,6.07875
2006-10-17,5.82875
2006-10-18,5.825
2006-10-19,5.80125
2006-10-20,5.73
2006-10-23,5.87375
2006-10-24,5.81375
2006-10-25,5.8925
2006-10-26,5.9725
2006-10-27,5.8275
2006-10-30,5.8425
2006-10-31,5.79375
2006-11-01,5.84125
2006-11-02,5.4375
2006-11-03,5.6525
2006-11-06,5.6525
2006-11-07,5.725
2006-11-08,5.7175
2006-11-09,5.60875
2006-11-10,5.70625
2006-11-13,5.55
2006-11-14,5.66375
2006-11-15,5.85625
2006-11-16,5.78125
2006-11-17,5.81875
2006-11-20,5.94875
2006-11-21,5.99125
2006-11-22,5.9625
2006-11-24,5.95
2006-11-27,6.03625
2006-11-28,5.83125
2006-11-29,5.7725
2006-11-30,5.865
2006-12-01,5.7975
2006-12-04,5.84125
2006-12-05,6.19625
2006-12-06,6.37125
2006-12-07,6.30375
2006-12-08,6.3575
2006-12-11,6.385
2006-12-12,6.19375
2006-12-13,6.125
2006-12-14,6.22125
2006-12-15,6.3275
2006-12-18,6.305
2006-12-19,6.3
2006-12-20,6.3525
2006-12-21,6.41875
2006-12-22,6.245
2006-12-26,6.275
2006-12-27,6.35
2006-12-28,6.39875
2006-12-29,6.30625
2007-01-03,6.19375
2007-01-04,6.15375
2007-01-05,6.045
2007-01-08,6.12375
2007-01-09,6.10875
2007-01-10,6.24625
2007-01-11,6.25625
2007-01-12,6.2
2007-01-16,6.345
2007-01-17,6.3625
2007-01-18,6.3375
2007-01-19,6.38375
2007-01-22,5.885
2007-01-23,6.17625
2007-01-24,6.34375
2007-01-25,6.225
2007-01-26,6.255
2007-01-29,6.43125
2007-01-30,6.53625
2007-01-31,6.35
2007-02-01,5.89625
2007-02-02,5.725
2007-02-05,5.65875
2007-02-06,5.76625
2007-02-07,5.9925
2007-02-08,6.10875
2007-02-09,6.01
2007-02-12,5.90375
2007-02-13,5.8575
2007-02-14,5.93625
2007-02-15,5.945
2007-02-16,5.98625
2007-02-20,6.10125
2007-02-21,5.98375
2007-02-22,5.975
2007-02-23,5.96125
2007-02-26,5.94625
2007-02-27,5.69375
2007-02-28,5.7375
2007-03-01,5.7425
2007-03-02,5.5975
2007-03-05,5.4625
2007-03-06,5.75125
2007-03-07,5.63875
2007-03-08,5.77125
2007-03-09,5.81375
2007-03-12,5.8425
2007-03-13,5.66625
2007-03-14,5.83
2007-03-15,5.885
2007-03-16,5.85375
2007-03-19,6.0875
2007-03-20,6.11875
2007-03-21,6.2425
2007-03-22,6.24875
2007-03-23,6.4
2007-03-26,6.375
2007-03-27,6.20875
2007-03-28,6.175
2007-03-29,6.34125
2007-03-30,6.4125
2007-04-02,6.39625
2007-04-03,6.535
2007-04-04,6.42375
2007-04-05,6.5225
2007-04-09,6.6025
2007-04-10,6.63125
2007-04-11,6.58375
2007-04-12,6.5825
2007-04-13,6.48625
2007-04-16,6.56375
2007-04-17,6.49375
2007-04-18,6.33875
2007-04-19,6.38
2007-04-20,6.43625
2007-04-23,6.3525
2007-04-24,6.2625
2007-04-25,6.375
2007-04-26,6.2
2007-04-27,6.16375
2007-04-30,6.3125
2007-05-01,5.7575
2007-05-02,5.74375
2007-05-03,5.5625
2007-05-04,5.64625
2007-05-07,5.605
