,Adjusted Close
2008-09-18,8.0
2008-09-19,8.35
2008-09-22,8.435
2008-09-23,8.31
2008-09-24,7.925
2008-09-25,8.035
2008-09-26,7.75
2008-09-29,7.31
2008-09-30,7.08
2008-10-01,7.155
2008-10-02,6.7
2008-10-03,6.495
2008-10-06,6.2325
2008-10-07,5.9
2008-10-08,5.605
2008-10-09,5.44
2008-10-10,5.22
2008-10-13,6.12
2008-10-14,6.55
2008-10-15,6.135
2008-10-16,5.945
2008-10-17,6.2
2008-10-20,6.37
2008-10-21,6.28
2008-10-22,5.9
2008-10-23,5.69
2008-10-24,4.895
2008-10-27,5.0
2008-10-28,5.275
2008-10-29,5.81
2008-10-30,6.295
2008-10-31,6.66
2008-11-03,6.525
2008-11-04,6.79
2008-11-05,6.63
2008-11-06,5.675
2008-11-07,6.755
2008-11-10,6.675
2008-11-11,6.57
2008-11-12,5.93
2008-11-13,6.495
2008-11-14,6.73
2008-11-17,6.29
2008-11-18,5.93
2008-11-19,5.875
2008-11-20,5.98
2008-11-21,6.165
2008-11-24,6.585
2008-11-25,6.36
2008-11-26,6.67
2008-11-28,7.565
2008-12-01,6.585
2008-12-02,6.55
2008-12-03,6.75
2008-12-04,6.195
2008-12-05,6.645
2008-12-08,7.11
2008-12-09,6.56
2008-12-10,6.465
2008-12-11,6.005
2008-12-12,6.255
2008-12-15,6.09
2008-12-16,6.22
2008-12-17,6.255
2008-12-18,6.69
2008-12-19,6.92
2008-12-22,6.61
2008-12-23,6.58
2008-12-24,6.545
2008-12-26,6.565
2008-12-29,6.57
2008-12-30,6.645
2008-12-31,6.695
2009-01-02,6.89
2009-01-05,7.04
2009-01-06,7.225
2009-01-07,6.9
2009-01-08,7.12
2009-01-09,7.205
2009-01-12,7.19
2009-01-13,7.395
2009-01-14,7.295
2009-01-15,7.235
2009-01-16,7.26
2009-01-20,6.71
2009-01-21,7.18
2009-01-22,7.2
2009-01-23,7.195
2009-01-26,7.095
2009-01-27,7.28
2009-01-28,7.3
2009-01-29,7.07
2009-01-30,7.19
2009-02-02,7.21
2009-02-03,7.09
2009-02-04,6.8
2009-02-05,6.685
2009-02-06,6.88
2009-02-09,6.88
2009-02-10,6.695
2009-02-11,6.78
2009-02-12,6.905
2009-02-13,6.89
2009-02-17,6.6
2009-02-18,6.495
2009-02-19,6.315
2009-02-20,6.13
2009-02-23,6.05
2009-02-24,6.34
2009-02-25,7.065
2009-02-26,7.02
2009-02-27,7.34
2009-03-02,7.255
2009-03-03,7.405
2009-03-04,7.25
2009-03-05,7.13
2009-03-06,6.99
2009-03-09,6.65
2009-03-10,7.005
2009-03-11,7.125
2009-03-12,7.6
2009-03-13,7.685
2009-03-16,7.625
2009-03-17,7.625
2009-03-18,7.63
2009-03-19,7.415
2009-03-20,7.25
2009-03-23,7.59
2009-03-24,7.42
2009-03-25,7.385
2009-03-26,7.525
2009-03-27,7.395
2009-03-30,7.31
2009-03-31,7.325
2009-04-01,7.765
2009-04-02,8.175
2009-04-03,8.315
2009-04-06,8.235
2009-04-07,7.68
2009-04-08,7.83
2009-04-09,8.135
2009-04-13,8.075
2009-04-14,7.855
2009-04-15,7.91
2009-04-16,8.355
2009-04-17,8.395
2009-04-20,8.255
2009-04-21,8.42
2009-04-22,8.61
2009-04-23,8.315
2009-04-24,8.41
2009-04-27,8.53
2009-04-28,8.51
2009-04-29,9.065
2009-04-30,8.76
2009-05-01,8.645
2009-05-04,9.4
2009-05-05,9.945
2009-05-06,9.87
2009-05-07,9.48
2009-05-08,9.465
2009-05-11,9.5
2009-05-12,9.09
2009-05-13,8.955
2009-05-14,9.035
2009-05-15,9.045
2009-05-18,9.385
2009-05-19,9.635
2009-05-20,10.205
2009-05-21,10.005
2009-05-22,10.095
2009-05-26,10.125
2009-05-27,10.035
2009-05-28,10.215
2009-05-29,10.42
2009-06-01,10.4
2009-06-02,10.44
2009-06-03,10.385
2009-06-04,10.265
2009-06-05,10.5
2009-06-08,10.68
2009-06-09,10.785
2009-06-10,10.525
2009-06-11,10.33
2009-06-12,10.085
2009-06-15,9.99
2009-06-16,9.64
2009-06-17,9.62
2009-06-18,9.64
2009-06-19,9.435
2009-06-22,9.21
2009-06-23,9.135
2009-06-24,9.385
2009-06-25,9.6
2009-06-26,10.61
2009-06-29,10.165
2009-06-30,10.265
2009-07-01,10.605
2009-07-02,10.205
2009-07-06,10.055
2009-07-07,9.945
2009-07-08,9.925
2009-07-09,10.205
2009-07-10,10.23
2009-07-13,10.205
2009-07-14,10.49
2009-07-15,10.8
2009-07-16,10.83
2009-07-17,10.645
2009-07-20,10.99
2009-07-21,10.945
2009-07-22,10.94
2009-07-23,11.025
2009-07-24,11.085
2009-07-27,11.035
2009-07-28,11.215
2009-07-29,11.04
2009-07-30,11.175
2009-07-31,11.2
2009-08-03,11.555
2009-08-04,11.47
2009-08-05,11.48
2009-08-06,11.475
2009-08-07,11.74
2009-08-10,11.67
2009-08-11,11.465
2009-08-12,11.59
2009-08-13,11.465
2009-08-14,11.415
2009-08-17,11.185
2009-08-18,11.335
2009-08-19,11.445
2009-08-20,11.56
2009-08-21,11.76
2009-08-24,11.825
2009-08-25,12.115
2009-08-26,12.1
2009-08-27,11.895
2009-08-28,11.705
2009-08-31,11.685
2009-09-01,11.615
2009-09-02,11.495
2009-09-03,11.585
2009-09-04,11.84
2009-09-08,12.05
2009-09-09,12.295
2009-09-10,12.825
2009-09-11,12.74
2009-09-14,12.705
2009-09-15,12.94
2009-09-16,13.225
2009-09-17,13.07
2009-09-18,13.205
2009-09-21,13.09
2009-09-22,13.175
2009-09-23,12.89
2009-09-24,12.77
2009-09-25,12.425
2009-09-28,12.73
2009-09-29,12.835
2009-09-30,13.015
2009-10-01,13.005
2009-10-02,13.05
2009-10-05,13.29
2009-10-06,13.58
2009-10-07,13.67
2009-10-08,13.99
2009-10-09,13.815
2009-10-12,13.775
2009-10-13,13.65
